academic_year,aggregate_level,county_code,district_code,school_code,county_name,district_name,school_name,reporting_category,cohort_students,regular_hs_diploma_graduates_count,cde_adjusted_cohort_graduation_rate,dropout_count,cde_four_year_cohort_dropout_rate
2023-24,S,37,10371,0115998,San Diego,San Diego County Office of Education,San Pasqual Academy,TA,18.0,12.0,66.7,3.0,16.7
2023-24,S,37,10371,0120493,San Diego,San Diego County Office of Education,Monarch,TA,15.0,7.0,46.7,4.0,26.7
2023-24,S,37,10371,0128520,San Diego,San Diego County Office of Education,San Diego County Community,TA,183.0,59.0,32.2,48.0,26.2
2023-24,S,37,10371,0128538,San Diego,San Diego County Office of Education,San Diego County Court,TA,66.0,28.0,42.4,16.0,24.2
2023-24,S,37,10371,0134577,San Diego,San Diego County Office of Education,Audeo Charter II,TA,73.0,49.0,67.1,4.0,5.5
2023-24,S,37,10371,0137752,San Diego,San Diego County Office of Education,Dimensions Collaborative,TA,35.0,34.0,97.1,0.0,0.0
2023-24,S,37,10371,0138792,San Diego,San Diego County Office of Education,JCS - Manzanita,TA,,,,,
2023-24,S,37,10371,1996545,San Diego,San Diego County Office of Education,North Coastal Consortium Schools,TA,,,,,
2023-24,S,37,10371,6069355,San Diego,San Diego County Office of Education,San Diego County Special Education,TA,,,,,
2023-24,S,37,10371,6119119,San Diego,San Diego County Office of Education,Literacy First Charter,TA,63.0,60.0,95.2,3.0,4.8
2023-24,S,37,67983,0134890,San Diego,Borrego Springs Unified,San Diego Workforce Innovation High,TA,917.0,207.0,22.6,215.0,23.4
2023-24,S,37,67983,3730447,San Diego,Borrego Springs Unified,Borrego Springs High,TA,32.0,29.0,90.6,2.0,6.3
2023-24,S,37,67991,0140558,San Diego,Cajon Valley Union,Bostonia Global,TA,24.0,23.0,95.8,1.0,4.2
2023-24,S,37,68023,0138073,San Diego,Chula Vista Elementary,Learning Choice Academy - Chula Vista,TA,32.0,29.0,90.6,0.0,0.0
2023-24,S,37,68023,6037980,San Diego,Chula Vista Elementary,Mueller Charter (Robert L.),TA,148.0,144.0,97.3,3.0,2.0
2023-24,S,37,68023,6115778,San Diego,Chula Vista Elementary,Chula Vista Learning Community Charter,TA,95.0,94.0,98.9,1.0,1.1
2023-24,S,37,68031,3731478,San Diego,Coronado Unified,Coronado High,TA,258.0,252.0,97.7,4.0,1.6
2023-24,S,37,68049,0129221,San Diego,Dehesa Elementary,MethodSchools,TA,112.0,77.0,68.8,16.0,14.3
2023-24,S,37,68049,0132506,San Diego,Dehesa Elementary,Cabrillo Point Academy,TA,139.0,126.0,90.6,7.0,5.0
2023-24,S,37,68049,0136416,San Diego,Dehesa Elementary,Pacific Coast Academy,TA,149.0,137.0,91.9,7.0,4.7
2023-24,S,37,68049,0136614,San Diego,Dehesa Elementary,Diego Hills Central Public Charter,TA,36.0,16.0,44.4,19.0,52.8
2023-24,S,37,68106,0000001,San Diego,Escondido Union High,"Nonpublic, Nonsectarian Schools",TA,,,,,
2023-24,S,37,68106,0111195,San Diego,Escondido Union High,Classical Academy High,TA,310.0,302.0,97.4,4.0,1.3
2023-24,S,37,68106,0127241,San Diego,Escondido Union High,Del Lago Academy - Campus of Applied Science,TA,172.0,168.0,97.7,3.0,1.7
2023-24,S,37,68106,0137034,San Diego,Escondido Union High,Audeo Charter School III,TA,44.0,28.0,63.6,1.0,2.3
2023-24,S,37,68106,3730058,San Diego,Escondido Union High,San Pasqual High,TA,493.0,454.0,92.1,25.0,5.1
2023-24,S,37,68106,3731023,San Diego,Escondido Union High,Escondido Charter High,TA,232.0,225.0,97.0,5.0,2.2
2023-24,S,37,68106,3732054,San Diego,Escondido Union High,Valley High (Continuation),TA,174.0,114.0,65.5,48.0,27.6
2023-24,S,37,68106,3732062,San Diego,Escondido Union High,Escondido High,TA,465.0,395.0,84.9,46.0,9.9
2023-24,S,37,68106,3735313,San Diego,Escondido Union High,Orange Glen High,TA,469.0,392.0,83.6,57.0,12.2
2023-24,S,37,68122,0000001,San Diego,Fallbrook Union High,"Nonpublic, Nonsectarian Schools",TA,,,,,
2023-24,S,37,68122,3730967,San Diego,Fallbrook Union High,Oasis High (Alternative),TA,43.0,42.0,97.7,1.0,2.3
2023-24,S,37,68122,3732179,San Diego,Fallbrook Union High,Fallbrook High,TA,474.0,412.0,86.9,49.0,10.3
2023-24,S,37,68122,3732195,San Diego,Fallbrook Union High,Ivy High (Continuation),TA,68.0,57.0,83.8,8.0,11.8
2023-24,S,37,68130,0000001,San Diego,Grossmont Union High,"Nonpublic, Nonsectarian Schools",TA,12.0,0.0,0.0,12.0,100.0
2023-24,S,37,68130,0128793,San Diego,Grossmont Union High,MERIT Academy,TA,19.0,3.0,15.8,16.0,84.2
2023-24,S,37,68130,0128819,San Diego,Grossmont Union High,REACH Academy,TA,,,,,
2023-24,S,37,68130,0132548,San Diego,Grossmont Union High,IDEA Center,TA,50.0,33.0,66.0,14.0,28.0
2023-24,S,37,68130,0139063,San Diego,Grossmont Union High,The Learning Choice Academy - East County,TA,34.0,28.0,82.4,1.0,2.9
2023-24,S,37,68130,3730066,San Diego,Grossmont Union High,Valhalla High,TA,506.0,407.0,80.4,73.0,14.4
2023-24,S,37,68130,3730702,San Diego,Grossmont Union High,West Hills High,TA,358.0,325.0,90.8,23.0,6.4
2023-24,S,37,68130,3731262,San Diego,Grossmont Union High,Steele Canyon High,TA,519.0,510.0,98.3,6.0,1.2
2023-24,S,37,68130,3731486,San Diego,Grossmont Union High,Elite Academy,TA,,,,,
2023-24,S,37,68130,3731536,San Diego,Grossmont Union High,Grossmont Middle College High,TA,29.0,27.0,93.1,2.0,6.9
2023-24,S,37,68130,3731692,San Diego,Grossmont Union High,El Cajon Valley High,TA,424.0,306.0,72.2,104.0,24.5
2023-24,S,37,68130,3731809,San Diego,Grossmont Union High,El Capitan High,TA,448.0,385.0,85.9,51.0,11.4
2023-24,S,37,68130,3732336,San Diego,Grossmont Union High,Granite Hills High,TA,603.0,514.0,85.2,63.0,10.4
2023-24,S,37,68130,3732559,San Diego,Grossmont Union High,Chaparral High,TA,14.0,3.0,21.4,10.0,71.4
2023-24,S,37,68130,3732625,San Diego,Grossmont Union High,Grossmont High,TA,506.0,401.0,79.2,88.0,17.4
2023-24,S,37,68130,3732732,San Diego,Grossmont Union High,Helix High,TA,569.0,557.0,97.9,4.0,0.7
2023-24,S,37,68130,3734548,San Diego,Grossmont Union High,Monte Vista High,TA,386.0,313.0,81.1,68.0,17.6
2023-24,S,37,68130,3734761,San Diego,Grossmont Union High,Mount Miguel High,TA,373.0,283.0,75.9,77.0,20.6
2023-24,S,37,68130,3737905,San Diego,Grossmont Union High,Santana High,TA,437.0,384.0,87.9,48.0,11.0
2023-24,S,37,68155,6117303,San Diego,Jamul-Dulzura Union Elementary,Greater San Diego Academy,TA,14.0,13.0,92.9,1.0,7.1
2023-24,S,37,68163,0128421,San Diego,Julian Union Elementary,Harbor Springs Charter,TA,,,,,
2023-24,S,37,68163,0137109,San Diego,Julian Union Elementary,Diego Valley East Public Charter,TA,156.0,22.0,14.1,38.0,24.4
2023-24,S,37,68163,0138628,San Diego,Julian Union Elementary,JCS - Cedar Cove,TA,,,,,
2023-24,S,37,68163,0139402,San Diego,Julian Union Elementary,Brookfield Engineering Science Technology Academy,TA,56.0,44.0,78.6,11.0,19.6
2023-24,S,37,68163,3731239,San Diego,Julian Union Elementary,Julian Charter,TA,40.0,33.0,82.5,5.0,12.5
2023-24,S,37,68171,3733219,San Diego,Julian Union High,Julian High,TA,26.0,23.0,88.5,2.0,7.7
2023-24,S,37,68189,3731072,San Diego,Lakeside Union Elementary,River Valley Charter,TA,48.0,38.0,79.2,10.0,20.8
2023-24,S,37,68213,0123224,San Diego,Mountain Empire Unified,San Diego Virtual,TA,158.0,128.0,81.0,12.0,7.6
2023-24,S,37,68213,0127084,San Diego,Mountain Empire Unified,Compass Charter Schools of San Diego,TA,55.0,35.0,63.6,13.0,23.6
2023-24,S,37,68213,0129668,San Diego,Mountain Empire Unified,Motivated Youth Academy,TA,72.0,41.0,56.9,10.0,13.9
2023-24,S,37,68213,0136978,San Diego,Mountain Empire Unified,Elite Academic Academy - Mountain Empire,TA,53.0,49.0,92.5,3.0,5.7
2023-24,S,37,68213,0138636,San Diego,Mountain Empire Unified,JCS - Pine Valley,TA,,,,,
2023-24,S,37,68213,3730934,San Diego,Mountain Empire Unified,Sunrise High (Continuation),TA,,,,,
2023-24,S,37,68213,3730991,San Diego,Mountain Empire Unified,Hillside Junior/Senior High,TA,20.0,16.0,80.0,4.0,20.0
2023-24,S,37,68213,3734878,San Diego,Mountain Empire Unified,Mountain Empire High,TA,93.0,89.0,95.7,3.0,3.2
2023-24,S,37,68296,0000001,San Diego,Poway Unified,"Nonpublic, Nonsectarian Schools",TA,,,,,
2023-24,S,37,68296,0118935,San Diego,Poway Unified,Del Norte High,TA,615.0,592.0,96.3,1.0,0.2
2023-24,S,37,68296,0141390,San Diego,Poway Unified,Poway to Palomar Middle College High,TA,41.0,40.0,97.6,0.0,0.0
2023-24,S,37,68296,3730074,San Diego,Poway Unified,Mt. Carmel High,TA,467.0,448.0,95.9,6.0,1.3
2023-24,S,37,68296,3730819,San Diego,Poway Unified,Rancho Bernardo High,TA,601.0,585.0,97.3,3.0,0.5
2023-24,S,37,68296,3731528,San Diego,Poway Unified,Westview High,TA,622.0,598.0,96.1,2.0,0.3
2023-24,S,37,68296,3735842,San Diego,Poway Unified,Abraxas Continuation High,TA,59.0,13.0,22.0,10.0,16.9
2023-24,S,37,68296,3735867,San Diego,Poway Unified,Poway High,TA,530.0,505.0,95.3,4.0,0.8
2023-24,S,37,68304,0102178,San Diego,Ramona City Unified,Future Bound Independent Study Secondary,TA,22.0,16.0,72.7,5.0,22.7
2023-24,S,37,68304,0131250,San Diego,Ramona City Unified,Mountain Valley Academy,TA,18.0,18.0,100.0,0.0,0.0
