county_name,district_name,english_learner_students,source_note
San Diego,Alpine Union Elementary,77,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Bonsall Unified,168,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Borrego Springs Unified,798,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Cajon Valley Union,6565,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Cardiff Elementary,26,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Carlsbad Unified,423,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Chula Vista Elementary,7479,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Coronado Unified,103,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Dehesa Elementary,234,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Del Mar Union Elementary,431,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Encinitas Union Elementary,351,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Escondido Union,4462,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Escondido Union High,1462,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Fallbrook Union Elementary,1100,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Fallbrook Union High,378,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Grossmont Union High,2866,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Jamul-Dulzura Union Elementary,168,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Julian Union Elementary,238,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Julian Union High,11,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,La Mesa-Spring Valley,1534,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Lakeside Union,362,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Lemon Grove,710,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Mountain Empire Unified,678,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,National Elementary,1957,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Oceanside Unified,1537,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Poway Unified,1919,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Ramona City Unified,598,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Rancho Santa Fe Elementary,33,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,SBE - Baypoint Preparatory Academy San Diego,25,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,SBE - College Preparatory Middle,22,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,SBE - Vista Springs Charter,62,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,San Diego County Office of Education,1908,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,San Diego Unified,17120,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,San Dieguito Union High,386,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,San Marcos Unified,1808,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,San Pasqual Union Elementary,43,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,San Ysidro Elementary,1881,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Santee,469,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Solana Beach Elementary,238,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,South Bay Union,2245,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Spencer Valley Elementary,468,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Sweetwater Union High,7323,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Vallecitos Elementary,77,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Valley Center-Pauma Unified,742,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Vista Unified,3106,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
San Diego,Warner Unified,221,"CDE English Learners by Grade and Language; summed across schools and languages by district. School-based count, not resident tract estimate."
