cds,county_name,district_name,school_name,language_code,language,english_learner_students
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,per,Persian (Farsi),32
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,pus,Pushto; Pashto,38
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,ira,Iranian languages,1
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,fre,French,2
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,hat,Haitian; Haitian Creole,23
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,mis,Uncoded languages (Other non-English languages),31
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,spa,Spanish; Castilian,18
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,cld,Chaldean Neo-Aramaic (Chaldean),1
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,por,Portuguese,5
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,som,Somali,127
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,orm,Oromo,1
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,bat,Other Baltic languages,1
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,cpf,"Creoles and pidgins, French-based",3
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,rus,Russian,1
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,ara,Arabic,7
37103710114678,San Diego,San Diego County Office of Education,High Tech High Chula Vista,phi,Philippine languages,1
37103710114678,San Diego,San Diego County Office of Education,High Tech High Chula Vista,spa,Spanish; Castilian,49
37103710114694,San Diego,San Diego County Office of Education,High Tech High North County,rus,Russian,1
37103710114694,San Diego,San Diego County Office of Education,High Tech High North County,spa,Spanish; Castilian,2
37103710115998,San Diego,San Diego County Office of Education,San Pasqual Academy,fre,French,1
37103710115998,San Diego,San Diego County Office of Education,San Pasqual Academy,spa,Spanish; Castilian,4
37103710119271,San Diego,San Diego County Office of Education,High Tech Middle North County,spa,Spanish; Castilian,23
37103710120485,San Diego,San Diego County Office of Education,Davila Day,mis,Uncoded languages (Other non-English languages),1
37103710120485,San Diego,San Diego County Office of Education,Davila Day,spa,Spanish; Castilian,5
37103710120485,San Diego,San Diego County Office of Education,Davila Day,ara,Arabic,1
37103710120493,San Diego,San Diego County Office of Education,Monarch,spa,Spanish; Castilian,83
37103710123042,San Diego,San Diego County Office of Education,High Tech Middle Chula Vista,jpn,Japanese,1
37103710123042,San Diego,San Diego County Office of Education,High Tech Middle Chula Vista,ara,Arabic,1
37103710123042,San Diego,San Diego County Office of Education,High Tech Middle Chula Vista,spa,Spanish; Castilian,42
37103710123059,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,spa,Spanish; Castilian,83
37103710123059,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,tgl,Tagalog,1
37103710123059,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,urd,Urdu,1
37103710123059,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,cmn,"Mandarin Chinese (Putonghua, Guoyu)",1
37103710123059,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,ara,Arabic,1
37103710123059,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,phi,Philippine languages,1
37103710124321,San Diego,San Diego County Office of Education,Howard Gardner Community Charter,spa,Spanish; Castilian,104
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,kor,Korean,1
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,arm,Armenian,1
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,jpn,Japanese,1
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,cmn,"Mandarin Chinese (Putonghua, Guoyu)",1
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,ara,Arabic,2
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,und,Undetermined,1
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,vie,Vietnamese,1
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,spa,Spanish; Castilian,47
37103710128520,San Diego,San Diego County Office of Education,San Diego County Community,cpf,"Creoles and pidgins, French-based",3
37103710128520,San Diego,San Diego County Office of Education,San Diego County Community,pus,Pushto; Pashto,1
37103710128520,San Diego,San Diego County Office of Education,San Diego County Community,spa,Spanish; Castilian,165
37103710128520,San Diego,San Diego County Office of Education,San Diego County Community,crp,Creoles and pidgins,1
37103710128520,San Diego,San Diego County Office of Education,San Diego County Community,fre,French,1
37103710128520,San Diego,San Diego County Office of Education,San Diego County Community,hat,Haitian; Haitian Creole,10
