cds,county_name,district_name,school_name,english_learner_students,source_note
37103710108548,San Diego,San Diego County Office of Education,Iftin Charter,291,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710114678,San Diego,San Diego County Office of Education,High Tech High Chula Vista,50,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710114694,San Diego,San Diego County Office of Education,High Tech High North County,3,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710115998,San Diego,San Diego County Office of Education,San Pasqual Academy,5,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710119271,San Diego,San Diego County Office of Education,High Tech Middle North County,23,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710120485,San Diego,San Diego County Office of Education,Davila Day,7,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710120493,San Diego,San Diego County Office of Education,Monarch,83,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710123042,San Diego,San Diego County Office of Education,High Tech Middle Chula Vista,44,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710123059,San Diego,San Diego County Office of Education,High Tech Elementary Chula Vista,88,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710124321,San Diego,San Diego County Office of Education,Howard Gardner Community Charter,104,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710127605,San Diego,San Diego County Office of Education,High Tech Elementary North County,55,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710128520,San Diego,San Diego County Office of Education,San Diego County Community,183,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710128538,San Diego,San Diego County Office of Education,San Diego County Court,41,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710134577,San Diego,San Diego County Office of Education,Audeo Charter II,24,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710136085,San Diego,San Diego County Office of Education,Scholarship Prep - Oceanside,89,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710136473,San Diego,San Diego County Office of Education,Altus Schools South Bay,84,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710137067,San Diego,San Diego County Office of Education,High Tech High Mesa,20,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710137695,San Diego,San Diego County Office of Education,Community Montessori,20,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710137752,San Diego,San Diego County Office of Education,Dimensions Collaborative,27,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710138016,San Diego,San Diego County Office of Education,Pacific Springs Charter,79,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
37103710138404,San Diego,San Diego County Office of Education,Classical Academy Vista,3,"CDE English Learners by Grade and Language; summed across languages by school. School-based count, not resident tract estimate."
