academic_year,aggregate_level,county_code,district_code,school_code,county_name,district_name,school_name,reporting_category,cde_cumulative_enrollment,cde_homeless_students,cde_homeless_temporarily_doubled_up,cde_homeless_temporary_shelters,cde_homeless_hotels_motels,cde_homeless_temporarily_unsheltered,cde_homeless_missing_unknown,cde_homeless_student_rate
2023-24,C,37,,,San Diego,,,TA,499683,23641,18556,2126,1618,1341,0,0.04731199580534059
2023-24,D,37,67967,,San Diego,Alpine Union Elementary,,TA,1631,71,62,9,0,0,0,0.043531575720416923
2023-24,D,37,76851,,San Diego,Bonsall Unified,,TA,2371,194,163,22,4,5,0,0.08182201602699284
2023-24,D,37,67983,,San Diego,Borrego Springs Unified,,TA,4253,254,175,22,20,37,0,0.05972254878909006
2023-24,D,37,67991,,San Diego,Cajon Valley Union,,TA,19516,715,481,114,80,40,0,0.036636605861856936
2023-24,D,37,68007,,San Diego,Cardiff Elementary,,TA,658,0,0,0,0,0,0,0.0
2023-24,D,37,73551,,San Diego,Carlsbad Unified,,TA,11152,111,50,10,49,2,0,0.009953371592539454
2023-24,D,37,68023,,San Diego,Chula Vista Elementary,,TA,30690,912,613,71,133,95,0,0.029716520039100684
2023-24,D,37,68031,,San Diego,Coronado Unified,,TA,2853,1,0,1,0,0,0,0.0003505082369435682
2023-24,D,37,68049,,San Diego,Dehesa Elementary,,TA,13006,172,135,8,10,19,0,0.013224665538982008
2023-24,D,37,68056,,San Diego,Del Mar Union Elementary,,TA,3866,6,1,0,4,1,0,0.0015519917227108122
2023-24,D,37,68080,,San Diego,Encinitas Union Elementary,,TA,4545,20,5,10,5,0,0,0.0044004400440044
2023-24,D,37,68098,,San Diego,Escondido Union,,TA,17796,1227,1097,23,88,19,0,0.06894807821982468
2023-24,D,37,68106,,San Diego,Escondido Union High,,TA,9346,315,268,16,14,17,0,0.03370425850631286
2023-24,D,37,68114,,San Diego,Fallbrook Union Elementary,,TA,5445,170,135,11,16,8,0,0.031221303948576674
2023-24,D,37,68122,,San Diego,Fallbrook Union High,,TA,2154,224,191,17,10,6,0,0.10399257195914577
2023-24,D,37,68130,,San Diego,Grossmont Union High,,TA,22632,685,552,60,38,35,0,0.03026687875574408
2023-24,D,37,68155,,San Diego,Jamul-Dulzura Union Elementary,,TA,877,41,4,31,1,5,0,0.046750285062713795
2023-24,D,37,68163,,San Diego,Julian Union Elementary,,TA,2567,139,104,13,12,10,0,0.05414881184261784
2023-24,D,37,68171,,San Diego,Julian Union High,,TA,130,3,1,0,1,1,0,0.023076923076923078
2023-24,D,37,68197,,San Diego,La Mesa-Spring Valley,,TA,11778,598,485,30,61,22,0,0.05077262693156733
2023-24,D,37,68189,,San Diego,Lakeside Union Elementary,,TA,5100,24,16,4,3,1,0,0.004705882352941176
2023-24,D,37,68205,,San Diego,Lemon Grove,,TA,3357,279,235,14,20,10,0,0.08310991957104558
2023-24,D,37,68213,,San Diego,Mountain Empire Unified,,TA,5492,439,324,32,14,69,0,0.07993445010924982
2023-24,D,37,68221,,San Diego,National Elementary,,TA,4977,420,365,18,31,6,0,0.08438818565400844
2023-24,D,37,73569,,San Diego,Oceanside Unified,,TA,19439,511,353,55,71,32,0,0.02628736046092906
2023-24,D,37,68296,,San Diego,Poway Unified,,TA,35738,756,609,78,47,22,0,0.021153953774693604
2023-24,D,37,68304,,San Diego,Ramona City Unified,,TA,5324,187,156,4,12,15,0,0.03512396694214876
2023-24,D,37,68312,,San Diego,Rancho Santa Fe Elementary,,TA,554,0,0,0,0,0,0,0.0
2023-24,D,37,10371,,San Diego,San Diego County Office of Education,,TA,9442,765,513,157,59,36,0,0.08102097013344631
2023-24,D,37,68338,,San Diego,San Diego Unified,,TA,120899,9231,7672,651,466,442,0,0.07635298885846864
2023-24,D,37,68346,,San Diego,San Dieguito Union High,,TA,12656,221,204,8,6,3,0,0.017462073324905184
2023-24,D,37,73791,,San Diego,San Marcos Unified,,TA,19988,799,330,449,9,11,0,0.03997398439063438
2023-24,D,37,68353,,San Diego,San Pasqual Union Elementary,,TA,541,51,51,0,0,0,0,0.09426987060998152
2023-24,D,37,68379,,San Diego,San Ysidro Elementary,,TA,4536,1102,911,27,70,94,0,0.2429453262786596
2023-24,D,37,68361,,San Diego,Santee,,TA,6377,133,117,3,5,8,0,0.020856201975850714
2023-24,D,37,76471,,San Diego,SBC - High Tech High,,TA,3879,13,5,1,6,1,0,0.003351379221448827
2023-24,D,37,77172,,San Diego,SBE - Baypoint Preparatory Academy San Diego,,TA,258,3,3,0,0,0,0,0.011627906976744186
2023-24,D,37,77164,,San Diego,SBE - College Preparatory Middle,,TA,407,0,0,0,0,0,0,0.0
2023-24,D,37,77099,,San Diego,SBE - Grossmont Secondary,,TA,567,44,32,4,5,3,0,0.07760141093474426
2023-24,D,37,77107,,San Diego,SBE - Sweetwater Secondary,,TA,570,45,39,2,1,3,0,0.07894736842105263
2023-24,D,37,77156,,San Diego,SBE - Vista Springs Charter,,TA,263,18,17,0,0,1,0,0.06844106463878327
2023-24,D,37,68387,,San Diego,Solana Beach Elementary,,TA,2864,38,32,1,2,3,0,0.013268156424581005
2023-24,D,37,68395,,San Diego,South Bay Union,,TA,6015,258,204,14,25,15,0,0.0428927680798005
2023-24,D,37,68403,,San Diego,Spencer Valley Elementary,,TA,5003,124,71,12,24,17,0,0.02478512892264641
2023-24,D,37,68411,,San Diego,Sweetwater Union High,,TA,38603,1009,706,51,137,115,0,0.026137864932777245
2023-24,D,37,68437,,San Diego,Vallecitos Elementary,,TA,203,23,23,0,0,0,0,0.11330049261083744
2023-24,D,37,75614,,San Diego,Valley Center-Pauma Unified,,TA,3879,127,74,11,0,42,0,0.03274039700953854
2023-24,D,37,68452,,San Diego,Vista Unified,,TA,23553,1202,960,84,104,54,0,0.05103383857682673
2023-24,D,37,75416,,San Diego,Warner Unified,,TA,3760,255,160,37,15,43,0,0.0678191489361702
2023-24,S,37,67967,6109086,San Diego,Alpine Union Elementary,Boulder Oaks Elementary,TA,422,29,26,3,0,0,0,0.06872037914691943
2023-24,S,37,67967,6118723,San Diego,Alpine Union Elementary,Creekside Early Learning Center,TA,279,10,8,2,0,0,0,0.035842293906810034
2023-24,S,37,67967,6037535,San Diego,Alpine Union Elementary,Joan MacQueen Middle,TA,452,13,12,1,0,0,0,0.028761061946902654
2023-24,S,37,67967,6109953,San Diego,Alpine Union Elementary,Mountain View Learning Academy,TA,113,5,5,0,0,0,0,0.04424778761061947
2023-24,S,37,67967,6106256,San Diego,Alpine Union Elementary,Shadow Hills Elementary,TA,394,14,11,3,0,0,0,0.03553299492385787
2023-24,S,37,76851,6037543,San Diego,Bonsall Unified,Bonsall Elementary,TA,963,67,63,1,2,1,0,0.0695742471443406
2023-24,S,37,76851,0129320,San Diego,Bonsall Unified,Bonsall High,TA,355,34,28,5,1,0,0,0.09577464788732394
2023-24,S,37,76851,0110122,San Diego,Bonsall Unified,Bonsall West Elementary,TA,415,31,31,0,0,0,0,0.0746987951807229
2023-24,S,37,76851,0000001,San Diego,Bonsall Unified,"Nonpublic, Nonsectarian Schools",TA,10,0,0,0,0,0,0,0.0
2023-24,S,37,76851,6108567,San Diego,Bonsall Unified,Norman L. Sullivan Middle,TA,536,35,14,16,1,4,0,0.06529850746268656
2023-24,S,37,76851,6113468,San Diego,Bonsall Unified,Vivian Banks Charter,TA,97,27,27,0,0,0,0,0.27835051546391754
2023-24,S,37,67983,6037550,San Diego,Borrego Springs Unified,Borrego Springs Elementary,TA,163,0,0,0,0,0,0,0.0
2023-24,S,37,67983,3730447,San Diego,Borrego Springs Unified,Borrego Springs High,TA,123,0,0,0,0,0,0,0.0
2023-24,S,37,67983,6115315,San Diego,Borrego Springs Unified,Borrego Springs Middle,TA,81,0,0,0,0,0,0,0.0
2023-24,S,37,67983,0000001,San Diego,Borrego Springs Unified,"Nonpublic, Nonsectarian Schools",TA,2,0,0,0,0,0,0,0.0
2023-24,S,37,67983,0134890,San Diego,Borrego Springs Unified,San Diego Workforce Innovation High,TA,3885,254,175,22,20,37,0,0.06537966537966539
2023-24,S,37,67991,6037568,San Diego,Cajon Valley Union,Anza Elementary,TA,783,23,20,1,2,0,0,0.02937420178799489
2023-24,S,37,67991,6069082,San Diego,Cajon Valley Union,Avocado Elementary,TA,622,18,13,2,1,2,0,0.028938906752411574
2023-24,S,37,67991,6112148,San Diego,Cajon Valley Union,Blossom Valley Elementary,TA,576,16,7,1,3,5,0,0.027777777777777776
2023-24,S,37,67991,0140558,San Diego,Cajon Valley Union,Bostonia Global,TA,1249,22,14,0,3,5,0,0.017614091273018415
2023-24,S,37,67991,6118319,San Diego,Cajon Valley Union,Cajon Valley Home,TA,260,11,8,1,2,0,0,0.04230769230769231
2023-24,S,37,67991,6037584,San Diego,Cajon Valley Union,Cajon Valley Middle,TA,1110,67,43,7,11,6,0,0.06036036036036036
