tract_geoid,tract_name,total_population_all_ages,youth_pop_14_24,youth_share_14_24,youth_pop_14_21_report_aligned,youth_pop_18_24_report_aligned,students_14_24,students_14_21_report_aligned,not_in_school_youth_14_24,not_in_school_youth_18_24_report_aligned,student_share_14_24,students_14_21_share_report_aligned,not_in_school_youth_share_14_24,not_in_school_youth_18_24_share_report_aligned
06073000100,Census Tract 1; San Diego County; California,2948,350.6,0.1189280868385346,338.6,109,348.4,332.79999999999995,2.2,0,0.993725042783799,0.9828706438275249,0.006274957216200799,0.0
06073000201,Census Tract 2.01; San Diego County; California,2270,140.8,0.06202643171806168,132.8,8,132.8,132.8,8.0,8,0.9431818181818182,1.0,0.056818181818181816,1.0
06073000202,Census Tract 2.02; San Diego County; California,3755,163.2,0.04346205059920106,136.2,117,56.2,52.6,107.0,107,0.34436274509803927,0.3861967694566814,0.6556372549019608,0.9145299145299145
06073000301,Census Tract 3.01; San Diego County; California,2311,141.0,0.06101254868022501,101.0,112,89.0,78.8,52.0,23,0.6312056737588653,0.7801980198019802,0.36879432624113473,0.20535714285714285
06073000302,Census Tract 3.02; San Diego County; California,2873,235.6,0.0820048729550992,83.6,228,73.6,35.800000000000004,162.0,162,0.31239388794567063,0.4282296650717704,0.6876061120543294,0.7105263157894737
06073000400,Census Tract 4; San Diego County; California,4315,154.8,0.03587485515643106,91.8,130,62.8,40.0,92.0,92,0.4056847545219638,0.4357298474945534,0.5943152454780362,0.7076923076923077
06073000500,Census Tract 5; San Diego County; California,2983,228.4,0.07656721421387865,92.4,160,104.4,82.80000000000001,124.0,124,0.45709281961471104,0.8961038961038962,0.542907180385289,0.775
06073000600,Census Tract 6; San Diego County; California,3221,94.8,0.02943185346165787,40.8,88,60.8,28.400000000000002,34.0,34,0.6413502109704641,0.6960784313725491,0.35864978902953587,0.38636363636363635
06073000700,Census Tract 7; San Diego County; California,4341,243.6,0.05611610228058051,63.6,238,121.6,52.00000000000001,122.0,122,0.49917898193760263,0.8176100628930818,0.5008210180623974,0.5126050420168067
06073000800,Census Tract 8; San Diego County; California,5283,179.2,0.033920121143289794,73.2,118,122.2,85.60000000000001,57.0,57,0.6819196428571429,1.169398907103825,0.31808035714285715,0.4830508474576271
06073000901,Census Tract 9.01; San Diego County; California,3632,171.4,0.04719162995594714,102.4,141,29.6,21.8,141.8,121,0.17269544924154026,0.212890625,0.8273045507584598,0.8581560283687943
