tract_geoid,coi_score,coi_level,coi_ed_score,coi_ed_level,coi_he_score,coi_he_level,coi_se_score,coi_se_level
06073000100,99,Very High,89,Very High,97,Very High,100.0,Very High
06073000201,95,Very High,82,Very High,100,Very High,96.0,Very High
06073000202,90,Very High,79,High,98,Very High,91.0,Very High
06073000301,85,Very High,62,High,100,Very High,89.0,Very High
06073000302,88,Very High,78,High,68,High,91.0,Very High
06073000400,87,Very High,62,High,100,Very High,90.0,Very High
06073000500,87,Very High,73,High,97,Very High,88.0,Very High
06073000600,91,Very High,75,High,99,Very High,93.0,Very High
06073000700,93,Very High,84,Very High,100,Very High,92.0,Very High
06073000800,89,Very High,89,Very High,99,Very High,84.0,Very High
06073000901,77,High,70,High,89,Very High,76.0,High
06073000902,60,Moderate,57,Moderate,93,Very High,53.0,Moderate
06073001000,74,High,61,High,100,Very High,71.0,High
06073001100,86,Very High,80,High,94,Very High,85.0,Very High
06073001201,62,High,47,Moderate,77,High,63.0,High
06073001202,70,High,61,High,91,Very High,68.0,High
06073001301,69,High,51,Moderate,62,High,76.0,High
06073001302,71,High,64,High,100,Very High,65.0,High
06073001400,83,Very High,74,High,92,Very High,83.0,Very High
06073001500,80,High,74,High,86,Very High,80.0,High
06073001600,39,Low,66,High,37,Low,25.0,Low
06073001700,61,High,35,Low,95,Very High,63.0,High
06073001801,60,Moderate,48,Moderate,77,High,60.0,Moderate
06073001802,66,High,40,Low,80,High,73.0,High
06073001900,86,Very High,44,Moderate,90,Very High,95.0,Very High
06073002001,93,Very High,61,High,92,Very High,98.0,Very High
06073002002,84,Very High,53,Moderate,77,High,93.0,Very High
06073002100,57,Moderate,39,Low,79,High,60.0,Moderate
06073002201,21,Low,16,Very Low,56,Moderate,17.0,Very Low
06073002202,9,Very Low,16,Very Low,36,Low,6.0,Very Low
06073002301,41,Moderate,30,Low,63,High,41.0,Moderate
06073002302,14,Very Low,22,Low,24,Low,12.0,Very Low
06073002401,43,Moderate,40,Low,58,Moderate,41.0,Moderate
06073002402,17,Very Low,14,Very Low,44,Moderate,15.0,Very Low
06073002501,24,Low,23,Low,39,Low,22.0,Low
06073002502,47,Moderate,43,Moderate,35,Low,50.0,Moderate
06073002601,15,Very Low,20,Very Low,37,Low,12.0,Very Low
06073002602,18,Very Low,22,Low,34,Low,16.0,Very Low
06073002702,56,Moderate,43,Moderate,70,High,58.0,Moderate
