puma,youth_16_19_civilian_population_pums,youth_16_19_civilian_labor_force_pums,youth_16_19_employed_pums,youth_16_19_unemployed_pums,youth_unemployment_rate_16_19_pums,labor_force_participation_rate_16_19_pums,puma_name,area_share_in_sd_county
07301,8037,3580,3200,380,0.10614525139664804,0.44543984073659326,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA,0.9999999999999974
07302,4778,1508,1281,227,0.15053050397877984,0.3156132272917539,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA",1.0000000000000027
07306,7182,2788,2496,292,0.10473457675753228,0.38819270398217764,San Diego County (Northwest)--Escondido City (East) PUMA,1.0000000000000004
07307,6673,1858,1561,297,0.15984930032292788,0.2784354862880264,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA",1.0000000000000038
07308,5756,1956,1763,193,0.09867075664621677,0.33981931897150797,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,0.999999999999999
07310,5547,1858,1466,392,0.2109795479009688,0.3349558319812511,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA,1.0000000000000095
07311,6120,1656,1434,222,0.13405797101449277,0.27058823529411763,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,1.0000000000000024
07312,10019,3703,2615,1088,0.2938158250067513,0.36959776424792895,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,0.9999999999999996
07313,8878,3189,2487,702,0.22013170272812793,0.3592025230907862,San Diego County (Central)--El Cajon & Santee Cities PUMA,0.9999999999999991
07314,5976,1985,1622,363,0.18287153652392948,0.3321619812583668,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,1.0000000000000058
07315,9311,3153,2523,630,0.19980970504281637,0.3386317259155837,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,1.0000000000000022
07316,3628,1196,972,224,0.18729096989966554,0.3296582138919515,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA,1.0000000000000004
07317,12511,3924,3157,767,0.1954638124362895,0.3136439932859084,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA,0.9999999999999992
07322,7367,2118,1493,625,0.29508970727101036,0.2874983032441971,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA,1.0000000000000004
07323,6201,1991,1799,192,0.09643395278754395,0.3210772456055475,San Diego County (Northwest)--Vista City PUMA,0.9999999999999997
07324,6069,2538,2439,99,0.03900709219858156,0.4181908057340583,San Diego County (Northwest)--Carlsbad City PUMA,1.0000000000000013
07325,7111,2344,1946,398,0.1697952218430034,0.3296301504711011,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA,0.9999999999999987
07326,8684,2928,2577,351,0.11987704918032786,0.3371718102257024,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,1.0000000000000036
07327,7773,2260,1777,483,0.21371681415929203,0.2907500321626142,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,1.000000000000001
07328,6290,2098,1584,514,0.2449952335557674,0.33354531001589827,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA",1.000000000000002
07329,9723,2220,1810,410,0.18468468468468469,0.22832459117556309,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,1.0
07330,9523,2912,1672,1240,0.4258241758241758,0.30578599180930377,San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA,1.0000000000000009
