AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	CharterSchool	DASS	ReportingCategory	CohortStudents	Regular HS Diploma Graduates (Count)	Regular HS Diploma Graduates (Rate)	Met UC/CSU Grad Req's (Count)	Met UC/CSU Grad Req's (Rate)	Seal of Biliteracy (Count)	Seal of Biliteracy (Rate)	Golden State Seal Merit Diploma (Count)	Golden State Seal Merit Diploma (Rate	Graduates Meeting Local Requirements Exemption (Count)	Graduates Meeting Local Requirements Exemption (Rate)	CPP Completer (Count)	CPP Completer (Rate)	Adult Ed. HS Diploma (Count)	Adult Ed. HS Diploma (Rate)	SPED Certificate (Count)	SPED Certificate (Rate)	GED Completer (Count)	GED Completer (Rate)	Other Transfer (Count)	Other Transfer (Rate)	Dropout (Count)	Dropout (Rate)	Still Enrolled (Count)	Still Enrolled (Rate)
2023-24	T	00			State			All	All	GF	246697	217760	88.3	124388	57.1	40348	18.5	79802	36.6	3491	1.6	485	0.2	161	0.1	1553	0.6	141	0.1	1396	0.6	19145	7.8	6056	2.5
2023-24	T	00			State			All	All	GM	258979	219442	84.7	102745	46.8	23846	10.9	64390	29.3	4434	2	484	0.2	230	0.1	3053	1.2	234	0.1	2285	0.9	25556	9.9	7695	3
2023-24	T	00			State			All	All	GX	1127	863	76.6	330	38.2	67	7.8	230	26.7	32	3.7	17	1.5	4	0.4	2	0.2	7	0.6	15	1.3	158	14	61	5.4
2023-24	T	00			State			All	All	RA	47865	44110	92.2	34488	78.2	10604	24	28146	63.8	234	0.5	238	0.5	10	0	357	0.7	12	0	109	0.2	2544	5.3	485	1
2023-24	T	00			State			All	All	RB	26138	20499	78.4	8998	43.9	648	3.2	3823	18.6	637	3.1	24	0.1	32	0.1	352	1.3	17	0.1	182	0.7	3806	14.6	1226	4.7
2023-24	T	00			State			All	All	RD	3276	2510	76.6	1311	52.2	278	11.1	898	35.8	57	2.3	14	0.4	3	0.1	34	1	7	0.2	41	1.3	477	14.6	190	5.8
2023-24	T	00			State			All	All	RF	12944	12324	95.2	8743	70.9	1329	10.8	6511	52.8	70	0.6	26	0.2	12	0.1	129	1	5	0	35	0.3	303	2.3	110	0.8
2023-24	T	00			State			All	All	RH	286675	243482	84.9	108145	44.4	39298	16.1	57975	23.8	5641	2.3	142	0	257	0.1	2753	1	195	0.1	2599	0.9	27625	9.6	9622	3.4
2023-24	T	00			State			All	All	RI	2443	1945	79.6	660	33.9	113	5.8	393	20.2	70	3.6	6	0.2	0	0	26	1.1	3	0.1	38	1.6	345	14.1	80	3.3
2023-24	T	00			State			All	All	RP	2209	1828	82.8	773	42.3	82	4.5	443	24.2	50	2.7	4	0.2	2	0.1	18	0.8	8	0.4	19	0.9	267	12.1	63	2.9
2023-24	T	00			State			All	All	RT	19208	16936	88.2	10037	59.3	1859	11	7104	41.9	234	1.4	65	0.3	15	0.1	138	0.7	28	0.1	106	0.6	1516	7.9	404	2.1
2023-24	T	00			State			All	All	RW	106045	94431	89	54308	57.5	10050	10.6	39129	41.4	964	1	467	0.4	64	0.1	801	0.8	107	0.1	567	0.5	7976	7.5	1632	1.5
2023-24	T	00			State			All	All	SD	68288	50141	73.4	10857	21.7	1284	2.6	6110	12.2	1639	3.3	72	0.1	79	0.1	4605	6.7	60	0.1	612	0.9	8630	12.6	4089	6
2023-24	T	00			State			All	All	SE	76435	58814	76.9	15669	26.6	4632	7.9	7263	12.3	2497	4.2	21	0	91	0.1	1295	1.7	33	0	1176	1.5	11068	14.5	3937	5.2
2023-24	T	00			State			All	All	SF	5594	3559	63.6	723	20.3	115	3.2	358	10.1	558	15.7	2	0	5	0.1	98	1.8	7	0.1	65	1.2	1393	24.9	465	8.3
2023-24	T	00			State			All	All	SH	37696	28136	74.6	7844	27.9	2340	8.3	4212	15	2833	10.1	17	0	56	0.1	323	0.9	44	0.1	558	1.5	6350	16.8	2212	5.9
2023-24	T	00			State			All	All	SM	5771	4927	85.4	1543	31.3	920	18.7	918	18.6	231	4.7	1	0	6	0.1	45	0.8	1	0	86	1.5	547	9.5	158	2.7
2023-24	T	00			State			All	All	SS	370049	310956	84	138401	44.5	42491	13.7	78446	25.2	7370	2.4	425	0.1	335	0.1	3783	1	282	0.1	3322	0.9	38237	10.3	12709	3.4
2023-24	T	00			State			All	All	TA	506803	438065	86.4	227463	51.9	64261	14.7	144422	33	7957	1.8	986	0.2	395	0.1	4608	0.9	382	0.1	3696	0.7	44859	8.9	13812	2.7
2023-24	T	00			State			All	No 	GF	214033	201240	94	123093	61.2	40230	20	79389	39.4	1889	0.9	456	0.2	37	0	1430	0.7	50	0	728	0.3	8660	4	1432	0.7
2023-24	T	00			State			All	No 	GM	220213	200304	91	102003	50.9	23786	11.9	64160	32	2249	1.1	459	0.2	54	0	2833	1.3	64	0	1190	0.5	13107	6	2202	1
2023-24	T	00			State			All	No 	GX	836	723	86.5	316	43.7	66	9.1	225	31.1	16	2.2	14	1.7	0	0	2	0.2	2	0.2	5	0.6	80	9.6	10	1.2
2023-24	T	00			State			All	No 	RA	45360	43366	95.6	34406	79.3	10600	24.4	28108	64.8	186	0.4	234	0.5	1	0	323	0.7	7	0	83	0.2	1067	2.4	279	0.6
