CDS	COUNTY	DISTRICT	SCHOOL	LC	LANGUAGE	GR_TK	GR_KN	GR_1	GR_2	GR_3	GR_4	GR_5	GR_6	GR_7	GR_8	GR_9	GR_10	GR_11	GR_12	UNGR	TOTAL_EL
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	bur	Burmese	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	spa	Spanish; Castilian	0	0	0	0	0	0	0	2	0	0	1	2	6	5	0	16
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	ara	Arabic	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	swa	Swahili	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	khm	Khmer, Central Khmer	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	4
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	yue	Yue Chinese (Cantonese)	0	0	1	2	3	3	1	3	4	1	0	0	0	0	0	18
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	mon	Mongolian	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	orm	Oromo	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	spa	Spanish; Castilian	0	0	0	1	2	4	2	3	0	0	0	0	0	0	0	12
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	amh	Amharic	0	0	4	1	3	2	4	1	3	0	0	0	0	0	0	18
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	tir	Tigrinya	0	2	4	2	4	1	6	0	5	0	0	0	0	0	0	24
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	cmn	Mandarin Chinese (Putonghua, Guoyu)	0	0	0	1	2	2	1	1	0	0	0	0	0	0	0	7
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	som	Somali	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	ara	Arabic	0	2	4	2	2	5	2	2	3	0	0	0	0	0	0	22
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	chi	Chinese (Other Chinese languages)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	mis	Uncoded languages (Other non-English languages)	0	1	1	1	3	2	0	1	1	0	0	0	0	0	0	10
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	bur	Burmese	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	kor	Korean	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170114363	Alameda	Alameda County Office of Education	American Indian Public Charter School II	vie	Vietnamese	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	vie	Vietnamese	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	yue	Yue Chinese (Cantonese)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	spa	Spanish; Castilian	0	9	11	9	8	10	13	13	8	7	0	0	0	0	0	88
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	mis	Uncoded languages (Other non-English languages)	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	4
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	cmn	Mandarin Chinese (Putonghua, Guoyu)	0	19	13	12	5	4	1	0	0	0	0	0	0	0	0	54
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	chi	Chinese (Other Chinese languages)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	jpn	Japanese	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	4
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	spa	Spanish; Castilian	0	7	6	4	0	3	0	0	1	0	0	0	0	0	0	21
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	ton	Tonga (Tonga Islands)	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	tir	Tigrinya	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	5
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	orm	Oromo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	und	Undetermined	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	amh	Amharic	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	4
