"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US06073000100","Census Tract 1; San Diego County; California","2948","388",
"1400000US06073000201","Census Tract 2.01; San Diego County; California","2270","336",
"1400000US06073000202","Census Tract 2.02; San Diego County; California","3755","537",
"1400000US06073000301","Census Tract 3.01; San Diego County; California","2311","365",
"1400000US06073000302","Census Tract 3.02; San Diego County; California","2873","327",
"1400000US06073000400","Census Tract 4; San Diego County; California","4315","523",
"1400000US06073000500","Census Tract 5; San Diego County; California","2983","396",
"1400000US06073000600","Census Tract 6; San Diego County; California","3221","338",
"1400000US06073000700","Census Tract 7; San Diego County; California","4341","568",
"1400000US06073000800","Census Tract 8; San Diego County; California","5283","613",
"1400000US06073000901","Census Tract 9.01; San Diego County; California","3632","412",
"1400000US06073000902","Census Tract 9.02; San Diego County; California","2441","330",
"1400000US06073001000","Census Tract 10; San Diego County; California","4978","553",
"1400000US06073001100","Census Tract 11; San Diego County; California","3068","395",
"1400000US06073001201","Census Tract 12.01; San Diego County; California","1982","544",
"1400000US06073001202","Census Tract 12.02; San Diego County; California","3054","459",
"1400000US06073001301","Census Tract 13.01; San Diego County; California","2816","463",
"1400000US06073001302","Census Tract 13.02; San Diego County; California","3238","306",
"1400000US06073001400","Census Tract 14; San Diego County; California","3285","362",
"1400000US06073001500","Census Tract 15; San Diego County; California","3961","314",
"1400000US06073001600","Census Tract 16; San Diego County; California","6014","1099",
"1400000US06073001700","Census Tract 17; San Diego County; California","4867","480",
"1400000US06073001801","Census Tract 18.01; San Diego County; California","1982","342",
"1400000US06073001802","Census Tract 18.02; San Diego County; California","3501","592",
"1400000US06073001900","Census Tract 19; San Diego County; California","3160","350",
"1400000US06073002001","Census Tract 20.01; San Diego County; California","3570","453",
"1400000US06073002002","Census Tract 20.02; San Diego County; California","2733","388",
"1400000US06073002100","Census Tract 21; San Diego County; California","5333","884",
"1400000US06073002201","Census Tract 22.01; San Diego County; California","3170","703",
"1400000US06073002202","Census Tract 22.02; San Diego County; California","4604","631",
"1400000US06073002301","Census Tract 23.01; San Diego County; California","3247","593",
"1400000US06073002302","Census Tract 23.02; San Diego County; California","6030","1616",
"1400000US06073002401","Census Tract 24.01; San Diego County; California","4295","726",
"1400000US06073002402","Census Tract 24.02; San Diego County; California","4665","681",
"1400000US06073002501","Census Tract 25.01; San Diego County; California","5046","478",
"1400000US06073002502","Census Tract 25.02; San Diego County; California","7231","926",
"1400000US06073002601","Census Tract 26.01; San Diego County; California","6025","841",
"1400000US06073002602","Census Tract 26.02; San Diego County; California","4624","810",
"1400000US06073002702","Census Tract 27.02; San Diego County; California","5592","589",
"1400000US06073002703","Census Tract 27.03; San Diego County; California","7111","1248",
