"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school",
"1400000US06073000100","Census Tract 1; San Diego County; California","2850","322","716","125","68","62","31","32","119","76","105","69","229","106","117","69","47","37","2134","274",
"1400000US06073000201","Census Tract 2.01; San Diego County; California","2251","333","459","112","44","43","7","11","77","54","135","60","111","61","21","22","64","51","1792","262",
"1400000US06073000202","Census Tract 2.02; San Diego County; California","3677","516","343","155","29","38","51","48","39","50","60","56","39","62","79","72","46","54","3334","446",
"1400000US06073000301","Census Tract 3.01; San Diego County; California","2299","364","244","131","0","14","0","14","32","37","0","14","27","44","121","77","64","53","2055","368",
"1400000US06073000302","Census Tract 3.02; San Diego County; California","2873","327","131","95","0","14","13","21","0","14","38","42","0","14","24","29","56","85","2742","319",
"1400000US06073000400","Census Tract 4; San Diego County; California","4219","491","532","221","0","14","32","45","8","18","64","76","12","12","118","91","298","182","3687","551",
"1400000US06073000500","Census Tract 5; San Diego County; California","2833","356","399","143","34","38","0","14","54","46","77","80","61","61","41","38","132","82","2434","296",
"1400000US06073000600","Census Tract 6; San Diego County; California","3179","344","261","113","0","14","38","29","34","55","0","14","0","14","103","67","86","72","2918","359",
"1400000US06073000700","Census Tract 7; San Diego County; California","4176","538","470","216","48","42","25","42","25","41","0","14","28","52","208","126","136","117","3706","521",
"1400000US06073000800","Census Tract 8; San Diego County; California","5210","602","834","257","39","37","50","44","62","57","83","65","115","94","249","144","236","190","4376","655",
"1400000US06073000901","Census Tract 9.01; San Diego County; California","3539","389","423","223","0","14","0","14","0","14","48","41","0","14","206","162","169","127","3116","377",
"1400000US06073000902","Census Tract 9.02; San Diego County; California","2432","326","290","155","10","20","0","14","31","39","10","24","38","47","127","115","74","58","2142","284",
"1400000US06073001000","Census Tract 10; San Diego County; California","4859","569","798","277","0","14","84","62","112","64","169","160","86","90","157","104","190","110","4061","444",
"1400000US06073001100","Census Tract 11; San Diego County; California","2989","375","550","177","41","65","25","30","98","64","82","67","33","33","168","120","103","73","2439","307",
"1400000US06073001201","Census Tract 12.01; San Diego County; California","1982","544","517","323","0","14","12","20","0","14","56","73","18","28","370","308","61","66","1465","326",
"1400000US06073001202","Census Tract 12.02; San Diego County; California","3020","461","540","136","10","17","0","14","69","59","76","66","43","37","225","131","117","82","2480","450",
"1400000US06073001301","Census Tract 13.01; San Diego County; California","2816","463","455","168","0","14","30","33","51","36","62","59","36","37","222","143","54","42","2361","381",
"1400000US06073001302","Census Tract 13.02; San Diego County; California","3170","282","572","205","16","23","37","26","35","30","57","49","25","27","229","168","173","91","2598","289",
"1400000US06073001400","Census Tract 14; San Diego County; California","3251","361","451","159","41","29","6","10","84","46","11","13","81","50","33","35","195","140","2800","325",
"1400000US06073001500","Census Tract 15; San Diego County; California","3898","297","629","126","166","80","0","14","96","52","82","54","63","54","144","75","78","60","3269","310",
"1400000US06073001600","Census Tract 16; San Diego County; California","5819","1028","1440","600","17","31","172","187","344","191","178","108","207","158","498","314","24","36","4379","806",
"1400000US06073001700","Census Tract 17; San Diego County; California","4743","495","817","277","104","117","0","14","23","48","141","138","81","89","346","181","122","85","3926","463",
"1400000US06073001801","Census Tract 18.01; San Diego County; California","1925","304","422","199","56","58","8","18","68","61","54","60","62","57","158","112","16","18","1503","304",
"1400000US06073001802","Census Tract 18.02; San Diego County; California","3475","598","651","315","30","44","39","53","22","32","75","49","42","38","233","149","210","214","2824","377",
"1400000US06073001900","Census Tract 19; San Diego County; California","3084","339","416","130","8","14","44","30","99","62","70","53","21","23","135","111","39","33","2668","312",
"1400000US06073002001","Census Tract 20.01; San Diego County; California","3496","458","580","167","30","45","49","56","97","63","155","65","106","69","72","41","71","52","2916","435",
"1400000US06073002002","Census Tract 20.02; San Diego County; California","2658","389","547","156","40","40","105","41","118","144","41","48","142","52","71","72","30","26","2111","311",
"1400000US06073002100","Census Tract 21; San Diego County; California","5184","831","1142","329","46","39","54","57","65","57","173","144","234","224","381","177","189","161","4042","675",
"1400000US06073002201","Census Tract 22.01; San Diego County; California","3127","693","764","265","42","59","55","48","226","150","91","90","112","96","193","136","45","55","2363","580",
"1400000US06073002202","Census Tract 22.02; San Diego County; California","4481","629","1423","301","0","14","56","34","349","143","347","187","262","95","294","243","115","107","3058","447",
"1400000US06073002301","Census Tract 23.01; San Diego County; California","3174","595","742","229","0","14","103","63","42","42","125","96","106","80","196","127","170","152","2432","451",
"1400000US06073002302","Census Tract 23.02; San Diego County; California","5983","1611","1650","561","86","116","16","32","232","124","290","175","327","190","681","421","18","31","4333","1229",
"1400000US06073002401","Census Tract 24.01; San Diego County; California","4128","693","1154","369","27","33","49","45","223","132","248","189","210","165","247","102","150","96","2974","383",
"1400000US06073002402","Census Tract 24.02; San Diego County; California","4528","634","1087","224","40","44","7","15","245","84","303","128","275","87","172","96","45","40","3441","587",
"1400000US06073002501","Census Tract 25.01; San Diego County; California","4845","484","1502","318","103","84","55","52","260","82","330","98","289","115","421","188","44","43","3343","347",
"1400000US06073002502","Census Tract 25.02; San Diego County; California","6938","906","1917","491","47","56","22","46","636","200","725","294","210","112","205","125","72","72","5021","588",
"1400000US06073002601","Census Tract 26.01; San Diego County; California","5596","774","1506","417","113","116","90","78","399","223","141","108","502","187","214","85","47","53","4090","582",
"1400000US06073002602","Census Tract 26.02; San Diego County; California","4428","751","1099","262","0","14","32","36","245","121","217","95","289","117","283","123","33","49","3329","702",
"1400000US06073002702","Census Tract 27.02; San Diego County; California","5473","574","1361","376","119","95","0","19","257","138","211","136","378","224","268","155","128","92","4112","381",
"1400000US06073002703","Census Tract 27.03; San Diego County; California","6876","1238","1742","428","43","42","10","18","366","235","261","141","514","184","504","389","44","42","5134","894",
"1400000US06073002705","Census Tract 27.05; San Diego County; California","4469","632","1038","340","52","54","47","58","227","252","176","87","183","97","327","141","26","35","3431","460",
"1400000US06073002707","Census Tract 27.07; San Diego County; California","5064","1045","1017","358","0","19","77","81","192","93","246","146","339","196","163","95","0","19","4047","981",
"1400000US06073002708","Census Tract 27.08; San Diego County; California","4607","593","1660","432","18","31","111","87","272","181","398","197","330","170","425","247","106","148","2947","439",
"1400000US06073002709","Census Tract 27.09; San Diego County; California","3856","804","1258","496","39","58","34","31","285","172","347","226","351","214","202","104","0","14","2598","425",
"1400000US06073002710","Census Tract 27.10; San Diego County; California","3993","508","1034","239","120","77","60","55","227","110","192","98","175","107","222","142","38","46","2959","491",
"1400000US06073002711","Census Tract 27.11; San Diego County; California","3455","454","1286","325","81","55","46","34","144","69","351","142","133","87","450","181","81","65","2169","231",
"1400000US06073002712","Census Tract 27.12; San Diego County; California","5005","733","1543","337","60","72","106","83","220","115","230","98","204","116","625","225","98","88","3462","576",
"1400000US06073002801","Census Tract 28.01; San Diego County; California","5214","428","4324","380","18","17","0","19","45","40","40","35","41","26","4088","369","92","61","890","153",
"1400000US06073002803","Census Tract 28.03; San Diego County; California","5377","538","1114","240","0","19","0","19","208","145","152","94","252","102","422","179","80","75","4263","471",
"1400000US06073002804","Census Tract 28.04; San Diego County; California","5939","985","3620","1015","17","20","74","85","173","103","114","79","79","64","2978","873","185","135","2319","339",
