"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25014_001E","Estimate!!Total:"
"B25014_001M","Margin of Error!!Total:"
"B25014_002E","Estimate!!Total:!!Owner occupied:"
"B25014_002M","Margin of Error!!Total:!!Owner occupied:"
"B25014_003E","Estimate!!Total:!!Owner occupied:!!0.50 or less occupants per room"
"B25014_003M","Margin of Error!!Total:!!Owner occupied:!!0.50 or less occupants per room"
"B25014_004E","Estimate!!Total:!!Owner occupied:!!0.51 to 1.00 occupants per room"
"B25014_004M","Margin of Error!!Total:!!Owner occupied:!!0.51 to 1.00 occupants per room"
"B25014_005E","Estimate!!Total:!!Owner occupied:!!1.01 to 1.50 occupants per room"
"B25014_005M","Margin of Error!!Total:!!Owner occupied:!!1.01 to 1.50 occupants per room"
"B25014_006E","Estimate!!Total:!!Owner occupied:!!1.51 to 2.00 occupants per room"
"B25014_006M","Margin of Error!!Total:!!Owner occupied:!!1.51 to 2.00 occupants per room"
"B25014_007E","Estimate!!Total:!!Owner occupied:!!2.01 or more occupants per room"
"B25014_007M","Margin of Error!!Total:!!Owner occupied:!!2.01 or more occupants per room"
"B25014_008E","Estimate!!Total:!!Renter occupied:"
"B25014_008M","Margin of Error!!Total:!!Renter occupied:"
"B25014_009E","Estimate!!Total:!!Renter occupied:!!0.50 or less occupants per room"
"B25014_009M","Margin of Error!!Total:!!Renter occupied:!!0.50 or less occupants per room"
"B25014_010E","Estimate!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room"
"B25014_010M","Margin of Error!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room"
"B25014_011E","Estimate!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room"
"B25014_011M","Margin of Error!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room"
"B25014_012E","Estimate!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room"
"B25014_012M","Margin of Error!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room"
"B25014_013E","Estimate!!Total:!!Renter occupied:!!2.01 or more occupants per room"
"B25014_013M","Margin of Error!!Total:!!Renter occupied:!!2.01 or more occupants per room"
