"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied:","Margin of Error!!Total:!!Owner occupied:","Estimate!!Total:!!Owner occupied:!!0.50 or less occupants per room","Margin of Error!!Total:!!Owner occupied:!!0.50 or less occupants per room","Estimate!!Total:!!Owner occupied:!!0.51 to 1.00 occupants per room","Margin of Error!!Total:!!Owner occupied:!!0.51 to 1.00 occupants per room","Estimate!!Total:!!Owner occupied:!!1.01 to 1.50 occupants per room","Margin of Error!!Total:!!Owner occupied:!!1.01 to 1.50 occupants per room","Estimate!!Total:!!Owner occupied:!!1.51 to 2.00 occupants per room","Margin of Error!!Total:!!Owner occupied:!!1.51 to 2.00 occupants per room","Estimate!!Total:!!Owner occupied:!!2.01 or more occupants per room","Margin of Error!!Total:!!Owner occupied:!!2.01 or more occupants per room","Estimate!!Total:!!Renter occupied:","Margin of Error!!Total:!!Renter occupied:","Estimate!!Total:!!Renter occupied:!!0.50 or less occupants per room","Margin of Error!!Total:!!Renter occupied:!!0.50 or less occupants per room","Estimate!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room","Margin of Error!!Total:!!Renter occupied:!!0.51 to 1.00 occupants per room","Estimate!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room","Margin of Error!!Total:!!Renter occupied:!!1.01 to 1.50 occupants per room","Estimate!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room","Margin of Error!!Total:!!Renter occupied:!!1.51 to 2.00 occupants per room","Estimate!!Total:!!Renter occupied:!!2.01 or more occupants per room","Margin of Error!!Total:!!Renter occupied:!!2.01 or more occupants per room",
"1400000US06073000100","Census Tract 1; San Diego County; California","1178","143","1067","143","922","139","145","79","0","14","0","14","0","14","111","76","93","73","18","22","0","14","0","14","0","14",
"1400000US06073000201","Census Tract 2.01; San Diego County; California","1180","129","534","114","437","106","97","56","0","14","0","14","0","14","646","108","505","110","132","67","0","14","9","17","0","14",
"1400000US06073000202","Census Tract 2.02; San Diego County; California","2240","286","1003","207","899","205","104","74","0","14","0","14","0","14","1237","262","935","252","253","123","0","14","49","53","0","14",
"1400000US06073000301","Census Tract 3.01; San Diego County; California","1302","187","345","99","270","93","66","62","9","15","0","14","0","14","957","188","692","172","223","113","0","14","42","50","0","14",
"1400000US06073000302","Census Tract 3.02; San Diego County; California","1818","195","501","104","446","104","36","40","0","14","19","30","0","14","1317","209","985","226","265","94","0","14","67","86","0","14",
"1400000US06073000400","Census Tract 4; San Diego County; California","2588","245","510","189","403","167","107","102","0","14","0","14","0","14","2078","264","1121","271","957","249","0","14","0","14","0","14",
"1400000US06073000500","Census Tract 5; San Diego County; California","1604","172","558","99","431","89","127","65","0","14","0","14","0","14","1046","153","741","140","271","102","0","14","15","21","19","29",
"1400000US06073000600","Census Tract 6; San Diego County; California","2047","173","764","145","662","144","102","85","0","14","0","14","0","14","1283","218","872","216","411","145","0","14","0","14","0","14",
"1400000US06073000700","Census Tract 7; San Diego County; California","2626","340","716","176","619","171","59","49","26","42","0","14","12","20","1910","342","1393","360","464","199","23","43","30","37","0","14",
"1400000US06073000800","Census Tract 8; San Diego County; California","2966","261","949","219","803","217","135","70","11","19","0","19","0","19","2017","302","1176","291","777","215","21","27","43","50","0","19",
"1400000US06073000901","Census Tract 9.01; San Diego County; California","2062","220","239","90","186","67","53","59","0","14","0","14","0","14","1823","239","1083","217","645","141","57","55","38","30","0","14",
"1400000US06073000902","Census Tract 9.02; San Diego County; California","1541","172","247","122","191","117","56","46","0","14","0","14","0","14","1294","164","922","173","372","120","0","14","0","14","0","14",
