"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"1400000US06073000100","Census Tract 1; San Diego County; California","1178","143","1107","136","0","14","1107","136","1083","135","32","30","1075","137","24","23","33","28","0","14","0","14","20","24","51","47",
"1400000US06073000201","Census Tract 2.01; San Diego County; California","1180","129","1093","129","0","14","1093","129","1032","126","65","39","988","138","52","42","88","58","0","14","0","14","0","14","87","62",
"1400000US06073000202","Census Tract 2.02; San Diego County; California","2240","286","2189","285","27","43","2162","286","2025","307","167","105","1900","297","137","93","114","106","0","14","0","14","51","60","0","14",
"1400000US06073000301","Census Tract 3.01; San Diego County; California","1302","187","1208","183","0","14","1208","183","1107","173","85","68","1114","185","101","74","0","14","0","14","0","14","49","40","45","52",
"1400000US06073000302","Census Tract 3.02; San Diego County; California","1818","195","1737","209","0","14","1737","209","1715","208","221","116","1516","228","22","25","114","76","0","14","0","14","11","17","70","75",
"1400000US06073000400","Census Tract 4; San Diego County; California","2588","245","2423","258","0","14","2423","258","2301","277","119","85","2224","293","122","100","204","187","0","14","0","14","69","62","96","63",
"1400000US06073000500","Census Tract 5; San Diego County; California","1604","172","1452","179","0","14","1452","179","1404","180","63","45","1377","166","48","34","24","36","0","14","0","14","108","84","44","50",
"1400000US06073000600","Census Tract 6; San Diego County; California","2047","173","1966","179","0","14","1966","179","1893","196","176","108","1783","179","73","64","48","36","0","14","0","14","15","23","66","55",
"1400000US06073000700","Census Tract 7; San Diego County; California","2626","340","2460","349","0","14","2460","349","2308","339","144","106","2229","399","127","100","133","93","0","14","0","14","30","41","136","154",
"1400000US06073000800","Census Tract 8; San Diego County; California","2966","261","2657","332","0","19","2657","332","2577","329","176","115","2413","356","80","61","68","99","0","19","0","19","62","81","247","179",
"1400000US06073000901","Census Tract 9.01; San Diego County; California","2062","220","1951","218","0","14","1951","218","1935","216","215","99","1694","214","16","20","142","90","0","14","0","14","8","12","103","75",
"1400000US06073000902","Census Tract 9.02; San Diego County; California","1541","172","1424","185","0","14","1424","185","1338","180","107","106","1301","191","86","64","68","47","0","14","0","14","36","40","81","50",
"1400000US06073001000","Census Tract 10; San Diego County; California","2728","254","2627","272","0","14","2627","272","2627","272","187","78","2426","261","0","14","83","71","0","14","0","14","0","14","101","105",
"1400000US06073001100","Census Tract 11; San Diego County; California","1745","231","1671","239","0","14","1671","239","1641","243","173","87","1464","230","30","26","0","14","0","14","0","14","15","21","59","44",
"1400000US06073001201","Census Tract 12.01; San Diego County; California","1346","318","1275","313","0","14","1275","313","1242","317","94","78","1181","313","33","36","8","16","0","14","0","14","11","18","60","46",
"1400000US06073001202","Census Tract 12.02; San Diego County; California","1775","255","1651","258","0","14","1651","258","1578","263","223","117","1385","275","63","60","35","33","10","17","0","14","10","17","114","80",
"1400000US06073001301","Census Tract 13.01; San Diego County; California","1593","211","1593","211","0","14","1593","211","1561","215","85","48","1498","211","32","30","98","85","0","14","0","14","0","14","0","14",
"1400000US06073001302","Census Tract 13.02; San Diego County; California","2161","224","2101","230","0","14","2101","230","2083","229","255","99","1831","245","18","24","26","29","0","14","0","14","0","14","60","50",
