field,field_type,description,possible_values
objectid,Integar,,
route_id,String,"The route_id field contains an ID that uniquely identifies a route. The route_id is dataset unique. Note that because this layer is a combination of two agency datasets, route_id may not be unique unless combined with the agency_id field",
shape_id,String,Shape identifier,
rteshpname,String,Route shape name,
short_name,String,"The short name of a route. This will often be a short, abstract identifier like ""32"", ""100X"", or ""Green"" that riders use to identify a route, but which doesn't give any indication of what places the route serves.",
long_name,String,The full name of a route. This name is generally more descriptive than the short name and will often include the route's destination or stop.,
route_type,Integar,The type of transportation used on a route,"0 - Tram, Streetcar, Light rail. Any light rail or street level system within a metropolitan area (includes Trolley); 1 - Subway, Metro. Any underground rail system within a metropolitan area; 2 - Rail. Used for intercity or long-distance travel; 3 - Bus. Used for short- and long-distance bus routes; 4 - Ferry. Used for short- and long-distance boat service; 5 - Cable car. Used for street-level cable cars where the cable runs beneath the car; 6 - Gondola, Suspended cable car. Typically used for aerial cable cars where the car is suspended from the cable; 7 - Funicular. Any rail system designed for steep inclines."
rte_type_t,String,Text value for route type,
route_url,String,The URL of a web page about that particular route,
hex_color,String,Color for route,
