"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US06073000100","Census Tract 1; San Diego County; California","1293","109","1178","143","115","82",
"1400000US06073000201","Census Tract 2.01; San Diego County; California","1261","121","1180","129","81","60",
"1400000US06073000202","Census Tract 2.02; San Diego County; California","2476","226","2240","286","236","183",
"1400000US06073000301","Census Tract 3.01; San Diego County; California","1475","158","1302","187","173","107",
"1400000US06073000302","Census Tract 3.02; San Diego County; California","2197","282","1818","195","379","267",
"1400000US06073000400","Census Tract 4; San Diego County; California","2646","246","2588","245","58","72",
"1400000US06073000500","Census Tract 5; San Diego County; California","1779","131","1604","172","175","106",
"1400000US06073000600","Census Tract 6; San Diego County; California","2150","185","2047","173","103","100",
"1400000US06073000700","Census Tract 7; San Diego County; California","2702","343","2626","340","76","58",
"1400000US06073000800","Census Tract 8; San Diego County; California","3062","242","2966","261","96","108",
"1400000US06073000901","Census Tract 9.01; San Diego County; California","2169","209","2062","220","107","70",
"1400000US06073000902","Census Tract 9.02; San Diego County; California","1750","130","1541","172","209","180",
"1400000US06073001000","Census Tract 10; San Diego County; California","2884","251","2728","254","156","156",
"1400000US06073001100","Census Tract 11; San Diego County; California","1901","240","1745","231","156","95",
"1400000US06073001201","Census Tract 12.01; San Diego County; California","1493","293","1346","318","147","114",
"1400000US06073001202","Census Tract 12.02; San Diego County; California","1910","221","1775","255","135","113",
"1400000US06073001301","Census Tract 13.01; San Diego County; California","1769","198","1593","211","176","103",
"1400000US06073001302","Census Tract 13.02; San Diego County; California","2203","235","2161","224","42","68",
"1400000US06073001400","Census Tract 14; San Diego County; California","2025","214","1874","236","151","111",
"1400000US06073001500","Census Tract 15; San Diego County; California","2159","165","2032","181","127","99",
"1400000US06073001600","Census Tract 16; San Diego County; California","2597","213","2349","257","248","167",
"1400000US06073001700","Census Tract 17; San Diego County; California","2586","349","2508","374","78","106",
"1400000US06073001801","Census Tract 18.01; San Diego County; California","1037","109","992","112","45","47",
"1400000US06073001802","Census Tract 18.02; San Diego County; California","1977","247","1917","266","60","74",
"1400000US06073001900","Census Tract 19; San Diego County; California","1632","177","1556","170","76","64",
"1400000US06073002001","Census Tract 20.01; San Diego County; California","1579","94","1549","95","30","31",
"1400000US06073002002","Census Tract 20.02; San Diego County; California","1288","169","1157","147","131","110",
"1400000US06073002100","Census Tract 21; San Diego County; California","2857","338","2592","400","265","176",
"1400000US06073002201","Census Tract 22.01; San Diego County; California","1529","463","1433","461","96","71",
"1400000US06073002202","Census Tract 22.02; San Diego County; California","1716","145","1603","159","113","91",
"1400000US06073002301","Census Tract 23.01; San Diego County; California","1561","237","1511","239","50","47",
"1400000US06073002302","Census Tract 23.02; San Diego County; California","2182","375","2039","384","143","109",
"1400000US06073002401","Census Tract 24.01; San Diego County; California","1748","154","1689","163","59","45",
"1400000US06073002402","Census Tract 24.02; San Diego County; California","1794","368","1733","377","61","58",
"1400000US06073002501","Census Tract 25.01; San Diego County; California","1539","104","1442","132","97","84",
"1400000US06073002502","Census Tract 25.02; San Diego County; California","2416","255","2393","260","23","27",
"1400000US06073002601","Census Tract 26.01; San Diego County; California","1784","223","1609","177","175","150",
"1400000US06073002602","Census Tract 26.02; San Diego County; California","1490","308","1407","306","83","80",
"1400000US06073002702","Census Tract 27.02; San Diego County; California","2067","141","2021","175","46","75",
"1400000US06073002703","Census Tract 27.03; San Diego County; California","2375","284","2338","294","37","58",
