"Census Tract","count_distinct_incidentuid"
"1.00","61"
"10.00","449"
"100.01","91"
"100.03","88"
"100.04","81"
"100.05","182"
"100.09","470"
"100.10","100"
"100.11","60"
"100.12","118"
"100.13","232"
"100.15","1,157"
"100.16","84"
"100.17","228"
"100.18","168"
"100.19","69"
"101.03","234"
"101.04","58"
"101.06","170"
"101.07","161"
"101.09","83"
"101.10","154"
"101.11","56"
"101.12","131"
"102.01","154"
"102.02","104"
"103.00","81"
"104.01","35"
"104.02","91"
"105.01","61"
"105.02","222"
"106.01","4"
"11.00","95"
"111.00","1"
"116.01","127"
"116.02","149"
"117.00","454"
"118.01","145"
"118.02","146"
"119.02","126"
"120.02","98"
"120.03","91"
"12.01","101"
"12.02","93"
"121.01","79"
"121.02","70"
"122.00","128"
"123.02","132"
"123.03","105"
"123.04","105"
"124.01","246"
"124.02","177"
"125.01","249"
"125.02","379"
"126.00","283"
"127.00","371"
"128.00","77"
"129.00","89"
"130.00","211"
"13.01","186"
"13.02","127"
"131.02","216"
"131.03","483"
"131.04","151"
"132.03","178"
"132.04","86"
"132.05","346"
"132.06","177"
"133.01","107"
"133.02","79"
"133.03","103"
"133.06","101"
"133.07","95"
"133.08","142"
"133.09","90"
"133.12","50"
"133.15","25"
"133.16","134"
"133.17","381"
"133.18","80"
"133.19","353"
"133.20","59"
"133.21","73"
"133.22","49"
"133.23","59"
"133.24","49"
"133.25","82"
"133.26","24"
"133.27","125"
"134.01","75"
"134.09","260"
"134.11","27"
"134.12","93"
"134.14","62"
"134.15","23"
"134.16","51"
"134.17","14"
"134.18","59"
"134.20","112"
"134.21","60"
"134.22","35"
"134.23","23"
"134.24","166"
"134.25","28"
"135.03","155"
"135.04","31"
"135.05","88"
"135.06","70"
"136.01","97"
"136.04","65"
"136.05","33"
"136.07","103"
"136.08","100"
"137.01","40"
"137.02","95"
"138.01","105"
"138.02","74"
"139.03","98"
"139.05","32"
"139.06","93"
"139.07","64"
"139.08","203"
"139.09","80"
"14.00","233"
"140.01","112"
"140.02","66"
"141.01","43"
"141.02","57"
"142.00","124"
"143.00","79"
"144.00","640"
"145.00","98"
"146.01","238"
"146.02","127"
"147.01","85"
"147.02","108"
"148.03","186"
"148.04","90"
"148.05","163"
"148.06","100"
"149.01","107"
"149.02","162"
"15.00","192"
"150.01","118"
"150.02","448"
"151.00","97"
"152.00","26"
"153.01","75"
"153.02","68"
"154.03","31"
"154.05","51"
"154.06","7"
"154.07","59"
"154.08","54"
"155.01","71"
"155.02","76"
"156.01","154"
"156.02","48"
"157.01","386"
"157.04","162"
"157.05","107"
"157.06","60"
"158.01","255"
"158.02","200"
"159.01","104"
"159.02","134"
"16.00","235"
"160.00","160"
"161.00","113"
"162.01","62"
"162.02","1,098"
"163.01","247"
"163.02","332"
"164.01","128"
"164.03","130"
"164.04","127"
"165.02","135"
"165.03","56"
"165.04","336"
"166.06","56"
"166.07","73"
"166.08","9"
"166.09","40"
"166.10","42"
"166.13","17"
"166.14","171"
"166.15","195"
"166.16","127"
"166.17","117"
"166.18","36"
"166.19","56"
"166.20","26"
"166.21","32"
"167.03","50"
"167.04","75"
"167.05","134"
"167.06","43"
"168.04","240"
"168.06","53"
"168.07","80"
"168.09","117"
"168.10","40"
"168.11","50"
"168.12","29"
"168.13","31"
"169.01","99"
"169.02","68"
"17.00","137"
"170.06","20"
"170.09","70"
"170.10","14"
"170.14","64"
"170.18","106"
"170.20","22"
"170.21","13"
"170.22","123"
"170.31","40"
"170.33","46"
"170.34","50"
"170.35","67"
"170.36","44"
"170.37","65"
"170.39","61"
"170.40","90"
"170.41","132"
"170.43","88"
"170.44","27"
"170.45","15"
"170.46","22"
"170.47","21"
"170.48","122"
"170.49","117"
"170.50","43"
"170.51","44"
"170.52","45"
"170.53","22"
"170.54","35"
"170.55","67"
"170.56","283"
"170.57","46"
"170.58","38"
"170.59","22"
"170.60","21"
"170.61","24"
"170.62","43"
"170.63","31"
"170.64","37"
"170.65","106"
"170.66","33"
"170.67","21"
"170.68","59"
"170.69","31"
"170.70","42"
"170.71","84"
"171.04","24"
"171.06","60"
"171.07","33"
"171.08","95"
"171.09","119"
"171.11","24"
"171.12","12"
"171.13","54"
"172.01","51"
"172.02","39"
"173.03","59"
"173.05","34"
"173.06","73"
"173.07","65"
"173.08","59"
"174.03","69"
"174.05","49"
"174.06","47"
"174.07","107"
"174.08","48"
"175.01","212"
"175.02","83"
"176.01","147"
"176.03","86"
"176.05","55"
"176.06","251"
"177.01","89"
"177.02","64"
"178.01","425"
"178.08","74"
"178.09","46"
"178.10","96"
"178.11","153"
"178.13","283"
"179.01","325"
"179.02","82"
"180.00","241"
"18.01","72"
"18.02","87"
"181.01","94"
"181.02","134"
"182.01","231"
"182.02","157"
"183.01","259"
"183.02","209"
"184.00","626"
"185.04","660"
"185.09","386"
"185.10","128"
"185.11","105"
"185.12","159"
"185.15","145"
"185.16","196"
"185.17","98"
"185.18","138"
"185.19","168"
"185.20","203"
"185.21","151"
"185.22","251"
"185.23","85"
"185.24","173"
"185.25","55"
"186.01","87"
"186.08","41"
"186.09","96"
"186.12","68"
"186.13","118"
"186.15","94"
"186.16","337"
"186.17","77"
"186.18","101"
"186.19","60"
"186.20","54"
"186.21","176"
"186.22","106"
"187.00","19"
"188.01","46"
"188.03","88"
"188.04","71"
"188.05","65"
"189.03","88"
"189.04","185"
"189.05","192"
"189.06","215"
"19.00","64"
"190.01","76"
"190.02","85"
"191.03","65"
"191.05","84"
"191.07","26"
"191.08","213"
"191.09","39"
"191.10","224"
"191.11","78"
"192.03","19"
"192.05","120"
"192.06","175"
"192.08","43"
"192.09","40"
"192.10","124"
"193.01","78"
"193.03","133"
"193.04","107"
"193.05","89"
"194.03","139"
"194.04","78"
"194.05","113"
"194.06","129"
"195.01","113"
"195.02","115"
"195.03","309"
"196.01","157"
"196.02","256"
"197.01","202"
"197.02","181"
"198.03","314"
"198.04","35"
"198.05","304"
"198.08","48"
"198.09","55"
"198.10","82"
"198.11","225"
"199.02","298"
"199.03","98"
"199.04","129"
"199.05","135"
"20.01","59"
"200.15","86"
"200.17","151"
"200.19","79"
"20.02","71"
"200.21","134"
"200.23","190"
"200.24","38"
"200.25","214"
"200.26","62"
"200.28","93"
"200.29","540"
"200.30","142"
"200.31","69"
"200.32","57"
"200.33","45"
"200.34","23"
"200.35","51"
"200.36","69"
"200.37","95"
"200.38","100"
"200.39","6"
"200.40","50"
"200.41","42"
"200.42","34"
"200.43","25"
"200.44","59"
