Tract,Overall YOI,County rank,Percentile,Weakest domains,Domains below median,Service density
187.00,44.0,510,31,"Housing, Economic",4,2.0
118.02,24.2,735,0,"Youth Supports, Economic",7,0.0
203.08,25.2,732,1,"Youth Supports, Health",7,0.0
164.04,20.9,737,0,"Economic, Mobility / Connectivity",7,2.4
186.22,26.9,724,2,"Youth Supports, Economic",7,0.0
104.02,25.5,731,1,"Youth Supports, Economic",7,1.8
206.02,28.8,714,3,"Health, Youth Supports",5,0.0
125.01,26.3,728,1,"Youth Supports, Economic",6,0.0
159.01,23.5,736,0,"Economic, Housing",7,0.0
168.09,30.9,697,6,"Youth Supports, Mobility / Connectivity",5,0.0
